champion_id,countername,winrate,champ_id
가렌,그라가스,68.24%,가렌
가렌,아칼리,67.57%,가렌
가렌,문도 박사,65.85%,가렌
가렌,뽀삐,62.50%,가렌
가렌,렝가,62.22%,가렌
가렌,자크,60.00%,가렌
가렌,아트록스,57.14%,가렌
가렌,럼블,56.90%,가렌
가렌,볼리베어,56.86%,가렌
가렌,이렐리아,56.67%,가렌
가렌,잭스,56.25%,가렌
가렌,블라디미르,56.25%,가렌
가렌,크산테,56.09%,가렌
가렌,나르,55.95%,가렌
가렌,제드,55.88%,가렌
가렌,요네,55.00%,가렌
가렌,트린다미어,54.00%,가렌
가렌,나서스,53.78%,가렌
가렌,레넥톤,53.66%,가렌
가렌,올라프,52.94%,가렌
가렌,케넨,52.78%,가렌
가렌,세트,51.89%,가렌
가렌,아크샨,51.61%,가렌
가렌,피오라,51.53%,가렌
가렌,쉔,51.52%,가렌
가렌,아이번,51.52%,가렌
가렌,오른,51.32%,가렌
가렌,티모,50.98%,가렌
가렌,그웬,50.54%,가렌
가렌,사이온,50.00%,가렌
가렌,카밀,50.00%,가렌
가렌,리븐,48.88%,가렌
가렌,야스오,48.72%,가렌
가렌,탐 켄치,48.39%,가렌
가렌,다리우스,48.34%,가렌
가렌,모데카이저,48.23%,가렌
가렌,말파이트,48.19%,가렌
가렌,갱플랭크,48.15%,가렌
가렌,제이스,47.83%,가렌
가렌,일라오이,46.90%,가렌
가렌,퀸,46.67%,가렌
가렌,판테온,45.88%,가렌
가렌,요릭,45.76%,가렌
가렌,케일,45.57%,가렌
가렌,초가스,43.48%,가렌
가렌,렉사이,41.67%,가렌
가렌,마오카이,41.18%,가렌
가렌,워윅,40.54%,가렌
가렌,바루스,40.00%,가렌
가렌,클레드,38.98%,가렌
가렌,베인,36.67%,가렌
가렌,우르곳,36.36%,가렌
가렌,신지드,34.29%,가렌
갈리오,사일러스,65.22%,갈리오
갈리오,아칼리,63.93%,갈리오
갈리오,라이즈,55.56%,갈리오
갈리오,빅토르,54.90%,갈리오
갈리오,피즈,53.85%,갈리오
갈리오,르블랑,53.49%,갈리오
갈리오,카타리나,50.56%,갈리오
갈리오,니코,48.89%,갈리오
갈리오,제드,48.68%,갈리오
갈리오,야스오,48.53%,갈리오
갈리오,아리,47.66%,갈리오
갈리오,리산드라,47.50%,갈리오
갈리오,요네,46.27%,갈리오
갈리오,블라디미르,45.71%,갈리오
갈리오,오리아나,45.45%,갈리오
갈리오,애니,43.86%,갈리오
갈리오,신드라,43.40%,갈리오
갈리오,트위스티드 페이트,38.10%,갈리오
갈리오,탈론,31.25%,갈리오
갱플랭크,티모,65.22%,갱플랭크
갱플랭크,판테온,61.64%,갱플랭크
갱플랭크,제드,60.00%,갱플랭크
갱플랭크,요네,58.67%,갱플랭크
갱플랭크,워윅,58.06%,갱플랭크
갱플랭크,야스오,57.50%,갱플랭크
갱플랭크,모데카이저,55.17%,갱플랭크
갱플랭크,블라디미르,54.72%,갱플랭크
갱플랭크,그라가스,54.41%,갱플랭크
갱플랭크,크산테,53.98%,갱플랭크
갱플랭크,마오카이,53.66%,갱플랭크
갱플랭크,리븐,53.38%,갱플랭크
갱플랭크,쉔,52.56%,갱플랭크
갱플랭크,바루스,52.50%,갱플랭크
갱플랭크,세트,52.11%,갱플랭크
